"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
25,"Self-emp-not-inc",176756,"HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,35,"United-States","<=50K"
29,"Self-emp-not-inc",162298,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States",">50K"
32,"Self-emp-inc",317660,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
38,"Self-emp-not-inc",120985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",4386,0,35,"United-States","<=50K"
24,"Self-emp-not-inc",32921,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
37,"Self-emp-inc",257295,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,75,"Thailand",">50K"
37,"Self-emp-inc",57424,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
36,"Self-emp-not-inc",205607,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","Black","Female",0,0,40,"United-States",">50K"
39,"Self-emp-not-inc",174308,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
26,"Self-emp-not-inc",117125,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Portugal","<=50K"
40,"Self-emp-not-inc",204116,"Bachelors",13,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Female",2174,0,40,"United-States","<=50K"
38,"Self-emp-inc",99146,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,80,"United-States",">50K"
38,"Self-emp-not-inc",190387,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
31,"Self-emp-inc",41493,"Bachelors",13,"Never-married","Farming-fishing","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
36,"Self-emp-not-inc",27053,"HS-grad",9,"Separated","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
29,"Self-emp-not-inc",110663,"HS-grad",9,"Separated","Craft-repair","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
36,"Self-emp-not-inc",28738,"Assoc-acdm",12,"Divorced","Sales","Unmarried","White","Female",0,0,35,"United-States","<=50K"
26,"Self-emp-not-inc",86646,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
31,"Self-emp-not-inc",340939,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
35,"Self-emp-not-inc",194404,"Assoc-acdm",12,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
38,"Self-emp-not-inc",267556,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,64,"United-States","<=50K"
34,"Self-emp-not-inc",190290,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
31,"Self-emp-not-inc",80145,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Self-emp-inc",165474,"Bachelors",13,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States","<=50K"
28,"Self-emp-inc",142712,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"United-States","<=50K"
29,"Self-emp-not-inc",266855,"Bachelors",13,"Separated","Prof-specialty","Own-child","White","Male",0,0,40,"United-States","<=50K"
33,"Self-emp-inc",155781,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,,"<=50K"
35,"Self-emp-not-inc",372525,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
37,"Self-emp-not-inc",168496,"HS-grad",9,"Divorced","Handlers-cleaners","Own-child","White","Male",0,0,10,"United-States","<=50K"
38,"Self-emp-inc",196373,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
36,"Self-emp-inc",108293,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1977,45,"United-States",">50K"
33,"Self-emp-not-inc",123424,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
35,"Self-emp-inc",368825,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States",">50K"
39,"Self-emp-inc",329980,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,50,"United-States",">50K"
39,"Self-emp-inc",180804,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
30,"Self-emp-not-inc",106742,"12th",8,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,75,"United-States","<=50K"
22,"Self-emp-not-inc",361280,"Bachelors",13,"Never-married","Prof-specialty","Own-child","Asian-Pac-Islander","Male",0,0,20,"India","<=50K"
29,"Self-emp-inc",260729,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",0,1977,25,"United-States",">50K"
39,"Self-emp-inc",218184,"9th",5,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1651,40,"Mexico","<=50K"
34,"Self-emp-not-inc",196791,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,25,"United-States",">50K"
35,"Self-emp-inc",289430,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"Mexico",">50K"
30,"Self-emp-inc",205733,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
28,"Self-emp-not-inc",218555,"Some-college",10,"Never-married","Transport-moving","Not-in-family","White","Male",0,1762,40,"United-States","<=50K"
22,"Self-emp-inc",153516,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",0,0,35,"United-States","<=50K"
36,"Self-emp-not-inc",180686,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
32,"Self-emp-inc",199765,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,50,"United-States",">50K"
37,"Self-emp-not-inc",137314,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","<=50K"
40,"Self-emp-not-inc",266324,"Some-college",10,"Divorced","Exec-managerial","Other-relative","White","Male",0,1564,70,"Iran",">50K"
33,"Self-emp-not-inc",235271,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
28,"Self-emp-inc",210295,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",">50K"
36,"Self-emp-not-inc",105021,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States",">50K"
37,"Self-emp-inc",395831,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,80,"United-States",">50K"
30,"Self-emp-not-inc",167990,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,65,"United-States",">50K"
